fecha,flota,id_puerto,categoria,id_especie,captura
2019-01,Fresqueros,Mar del Plata,Peces,Pez ángel,544
2019-01,Fresqueros,Mar del Plata,Peces,Pez ángel,3943
2019-01,Fresqueros,Mar del Plata,Peces,Rayas nep,3047
2019-01,Fresqueros,Mar del Plata,Peces,Rayas nep,3270
2019-01,Fresqueros,Mar del Plata,Peces,Rubio,896
2019-01,Fresqueros,Mar del Plata,Peces,Róbalo,58752
2019-01,Fresqueros,Mar del Plata,Peces,Salmonete,175
2019-01,Fresqueros,Mar del Plata,Peces,Salmón de mar,279
2019-01,Fresqueros,Mar del Plata,Peces,Salmón de mar,3995
2019-01,Fresqueros,Mar del Plata,Peces,Savorín,478020
2019-01,Fresqueros,Mar del Plata,Peces,Tiburones nep,350
2019-01,Fresqueros,Mar del Plata,Peces,Tiburones nep,2115
2019-01,Rada o ría,Mar del Plata,Crustáceos,Cangrejo,450
2019-01,Rada o ría,Mar del Plata,Moluscos,Calamar Loligo,21014
2019-01,Rada o ría,Mar del Plata,Peces,Besugo,2644
2019-01,Rada o ría,Mar del Plata,Peces,Besugo,703
2019-01,Rada o ría,Mar del Plata,Peces,Caballa,60
2019-01,Rada o ría,Mar del Plata,Peces,Chernia,728793
2019-01,Rada o ría,Mar del Plata,Peces,Corvina blanca,20982
2019-01,Rada o ría,Mar del Plata,Peces,Corvina blanca,8320
2019-01,Rada o ría,Mar del Plata,Peces,Gatuzo,3808
2019-01,Rada o ría,Mar del Plata,Peces,Gatuzo,914414
2019-01,Rada o ría,Mar del Plata,Peces,Lenguados nep,64
2019-01,Rada o ría,Mar del Plata,Peces,Lenguados nep,2555
2019-01,Rada o ría,Mar del Plata,Peces,Merluza hubbsi,126
2019-01,Rada o ría,Mar del Plata,Peces,Mero,128929
2019-01,Rada o ría,Mar del Plata,Peces,Mero,91092
2019-01,Rada o ría,Mar del Plata,Peces,Pargo,973
2019-01,Rada o ría,Mar del Plata,Peces,Pejerrey,201
2019-01,Rada o ría,Mar del Plata,Peces,Pescadilla,20459
2019-01,Rada o ría,Mar del Plata,Peces,Pescadilla,510
2019-01,Rada o ría,Mar del Plata,Peces,Pez palo,35
2019-01,Rada o ría,Mar del Plata,Peces,Pez palo,60
2019-01,Rada o ría,Mar del Plata,Peces,Pez ángel,153926
2019-01,Rada o ría,Mar del Plata,Peces,Pez ángel,376
2019-01,Rada o ría,Mar del Plata,Peces,Rayas nep,22617
2019-01,Rada o ría,Mar del Plata,Peces,Rayas nep,401
2019-01,Rada o ría,Mar del Plata,Peces,Salmonete,13139
2019-01,Rada o ría,Mar del Plata,Peces,Salmón de mar,59998
2019-01,Rada o ría,Mar del Plata,Peces,Salmón de mar,14766
2019-01,Rada o ría,Mar del Plata,Peces,Tiburones nep,4398352
2019-01,Fresqueros,Necochea / Quequén,Peces,Merluza hubbsi,7766
2019-01,Fresqueros,Necochea / Quequén,Peces,Raya hocicuda / picuda,2126
2019-01,Rada o ría,Necochea / Quequén,Moluscos,Calamar Loligo,30
2019-01,Rada o ría,Necochea / Quequén,Moluscos,Caracol,429
2019-01,Rada o ría,Necochea / Quequén,Peces,Besugo,6239
2019-01,Rada o ría,Necochea / Quequén,Peces,Corvina blanca,21677
2019-01,Rada o ría,Necochea / Quequén,Peces,Gatuzo,5004
2019-01,Rada o ría,Necochea / Quequén,Peces,Jurel,4415
2019-01,Rada o ría,Necochea / Quequén,Peces,Lenguados nep,19851
2019-01,Rada o ría,Necochea / Quequén,Peces,Mero,4861
2019-01,Rada o ría,Necochea / Quequén,Peces,Pargo,277
2019-01,Rada o ría,Necochea / Quequén,Peces,Pescadilla,13845
2019-01,Rada o ría,Necochea / Quequén,Peces,Pez gallo,149380
2019-01,Rada o ría,Necochea / Quequén,Peces,Pez palo,36495
2019-01,Rada o ría,Necochea / Quequén,Peces,Pez ángel,3380
2019-01,Rada o ría,Necochea / Quequén,Peces,Rayas nep,65
2019-01,Rada o ría,Necochea / Quequén,Peces,Salmón de mar,227
2019-01,Rada o ría,Necochea / Quequén,Peces,Tiburones nep,6419
2019-01,Congeladores poteros nacionales,otros puertos Buenos Aires,Moluscos,Calamar Illex,3945
2019-01,Costeros,otros puertos Buenos Aires,Peces,Bagre,1089
